bundler, 1.3.4, MIT
coderay, 1.0.9, MIT
columnize, 0.3.6, Ruby
debugger, 1.6.1, BSD
debugger-linecache, 1.2.0, MIT
debugger-ruby_core_source, 1.2.3, other
diff-lcs, 1.2.4, MIT
ffi, 1.9.0, LGPL-3
formatador, 0.2.4, MIT
gom-core, 0.2.5, MIT
guard, 1.8.2, MIT
guard-rspec, 0.7.2, MIT
listen, 1.3.0, MIT
lumberjack, 1.0.4, MIT
method_source, 0.8.2, MIT
pry, 0.9.12.2, MIT
rb-fsevent, 0.9.3, MIT
rb-inotify, 0.9.1, MIT
rb-kqueue, 0.2.0, MIT
rspec, 2.14.1, MIT
rspec-core, 2.14.5, MIT
rspec-expectations, 2.14.2, MIT
rspec-mocks, 2.14.3, MIT
slop, 3.4.6, MIT
thor, 0.18.1, MIT
